codigo_encuesta,año,no,margen_error,confianza,alcance_muestra,ciudades_capitales,ciudades_intermedias,area_rural,fecha_inicio_encuesta,fecha_conclusion_encuesta
captura_consulting_diciembre_2018,2018,1,,,,,,,,
captura_consulting_enero_2019,2019,2,,,,,,,,
captura_consulting_julio_2018,2018,3,,,,,,,,
captura_consulting_marzo_2018,2018,4,,,,,,,,
captura_consulting_marzo_2019,2019,5,,,,,,,,
captura_consulting_mayo_2018,2018,6,,,,,,,,
captura_consulting_septiembre_2018,2018,7,,,,,,,,
celag_marzo_2019,2019,8,,,,,,,,
ciesmori_octubre_2018,2018,9,,,,,,,,
ipsos_abril_2019,2019,10,,,,,,,,
ipsos_agosto_2018,2018,11,,,,,,,,
ipsos_octubre_2018,2018,12,,,,,,,,
mercados_y_muestras_abril_2019,2019,13,,,,,,,,
mercados_y_muestras_diciembre_2018,2018,14,,,,,,,,
mercados_y_muestras_enero_2019,2019,15,,,,,,,,
mercados_y_muestras_febrero_2019,2019,16,,,,,,,,
mercados_y_muestras_julio_2018,2018,17,,,,,,,,
mercados_y_muestras_marzo_2019,2019,18,,,,,,,,
mercados_y_muestras_noviembre_2018,2018,19,,,,,,,,
mercados_y_muestras_octubre_2018,2018,20,,,,,,,,
mercados_y_muestras_septiembre_2018,2018,21,,,,,,,,
tal_cual_febrero_2019,2019,22,,,,,,,,
tal_cual_mayo_2019,2019,23,,,,,,,,
tal_cual_octubre_2018,2018,24,,,,,,,,
